59,541
234,208
259,42
250,166
30,84
125,167
239,125
286,166
238,83
164,83
135,166
201,125
128,125
278,125
146,42
61,125
244,125
254,125
103,125
271,83
196,125
228,125
290,167
89,84
78,125
258,83
104,125
76,125
260,84
78,125
88,84
242,83
108,125
266,83
185,84
195,125
84,84
194,125
57,83
288,125
253,125
63,125
289,125
287,83
133,125
298,125
96,83
147,84
187,125
50,84
248,125
75,167
78,125
190,125
94,83
230,41
283,83
42,83
183,83
200,125
211,125
197,83
135,125
59,84
232,125
141,125
293,83
229,125
67,84
25,83
77,125
191,83
296,83
7,42
